id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
791845,Ecofriendly getaways in Costa Brava,1023612,Mercè,,Rupià,42.0171,3.01034,Entire home/apt,150,4,31,9/27/21,0.3,2,191,4,HUTG-011718
794265,Casa con piscina a 50m playa.Calonge Costa Brava,4192751,Xènia,,Calonge,41.84327,3.09243,Entire home/apt,89,3,9,9/15/21,0.16,1,355,5,HUTG-15.555
809104,Costabravaforrent Segalar 3,4208003,Cristina,,Albons,42.10369,3.0823,Entire home/apt,117,4,5,9/23/18,0.05,32,177,0,HUTG-003712
809136,Costabravaforrent Segalar 9,4208003,Cristina,,Albons,42.10369,3.0823,Entire home/apt,82,4,5,6/1/19,0.06,32,124,0,HUTG-001370
810373,Apartment on the first line of the sea,4261656,Lisa,,Roses,42.24734,3.1973,Entire home/apt,119,3,73,11/15/21,0.76,1,240,8,HUTG-016748
820615,Costabravaforrent Ricardell,4208003,Cristina,,L'Escala,42.10907,3.14432,Entire home/apt,171,4,7,8/13/21,0.08,32,176,1,HUTG-008276
822805,Beautifull in the first line of sea,4320039,Luis Alberto,,Blanes,41.66048,2.78095,Entire home/apt,95,2,78,10/22/21,0.75,2,342,9,HUTB-005153
841345,Casa en piso superior y vistas a la monta√±a (WIFI),4393990,Juan Carlos,,Pals,41.98118,3.17086,Entire home/apt,129,7,2,8/13/19,0.04,1,358,0,
845011,"Rustic ""Mas"" farmhouse Costa Brava | Dalí 10 Pax",3961251,Ana,,Vilanant,42.25835,2.87583,Entire home/apt,165,6,27,8/18/21,0.26,3,363,2,
845209,Casa a 300 m del lago de Banyoles HUTG-030876-58,4412627,Inma,,Banyoles,42.1146,2.7567,Entire home/apt,106,2,24,12/23/21,0.22,2,348,6,HUTG-030876
854021,"Great family house, Costa Brava",4282861,Gerusa,,Serra de Daró,42.02913,3.07318,Entire home/apt,100,2,131,12/26/21,1.28,1,344,21,HUTG-021231
856837,Medieval Castle for 10 persons,4480521,Marc,,Ripoll,42.15281,2.24407,Entire home/apt,306,2,37,4/5/21,0.38,3,284,1,PG000900
858015,Country House‚≠êCan Simonet‚≠êCamprodon,1373228,Jordi,,Camprodon,42.33747,2.45288,Entire home/apt,192,2,21,12/16/21,0.26,9,342,5,HUTG-011351
873135,HOUSE/VILLA in COSTA BRAVA.SEA VIEW,1791366,Jos√© Manuel Y María,,Calonge,41.82845,3.07903,Entire home/apt,890,28,20,8/14/20,0.26,3,365,0,HUTG-027946
876041,Amazing penthouse at the beach,12346740,Raimon,,Palamós,41.85516,3.14231,Entire home/apt,266,7,6,7/7/21,0.08,60,288,1,HUTG-037790
879742,RESIDENTIAL FLAT Lloret de Mar (Nex,4652235,Milagros,,Lloret de Mar,41.69495,2.82383,Entire home/apt,60,7,19,7/31/21,0.18,1,351,1,HUTG-013099
888531,"SPACIOUS APARTMENT, LARGE TERRACES",4711926,Laura,,Castell-Platja d'Aro,41.81625,3.06547,Entire home/apt,180,7,0,,,1,363,0,
891187,Disfruta de la naturaleza y el mar que rodean esta lujosa casa en la Costa Brava,4734897,Carles&Constanze,,Palau-sator,41.99374,3.12347,Entire home/apt,410,7,16,8/16/21,0.2,1,287,8,HUTG-028131
891269,S. XII Can Ribes Lago de Banyoles        PG-000048,4412627,Inma,,Camós,42.07192,2.78614,Entire home/apt,594,1,35,11/1/21,0.33,2,334,10,PG-000048
